Date,Open,High,Low,Close,Volume
18-May-16,444.70,450.30,441.40,448.61,548771
17-May-16,445.03,449.84,444.26,446.08,735952
16-May-16,452.07,452.71,438.53,444.56,1492024
13-May-16,457.01,464.90,455.12,458.35,898953
12-May-16,457.08,461.30,456.34,457.01,1093228
11-May-16,455.97,459.30,450.27,454.00,1042515
10-May-16,456.63,456.77,449.01,455.59,778264
9-May-16,435.05,456.88,435.05,453.17,1418818
6-May-16,434.00,435.33,426.03,433.81,734156
5-May-16,433.83,438.26,430.75,435.00,609488
4-May-16,437.06,438.70,432.10,433.30,674577
3-May-16,433.60,447.46,433.28,437.95,1287977
2-May-16,422.00,434.15,420.33,433.50,963589
29-Apr-16,422.89,424.74,417.75,420.97,962747
28-Apr-16,417.83,431.42,417.38,423.40,1425289
27-Apr-16,425.00,430.00,415.00,417.22,3878286
26-Apr-16,445.00,447.27,438.72,445.92,1355639
25-Apr-16,442.70,444.95,438.00,443.10,973619
22-Apr-16,452.15,453.99,438.26,442.73,920073
21-Apr-16,461.00,462.80,447.59,448.14,738614
20-Apr-16,457.11,462.98,454.00,458.00,483090
19-Apr-16,462.01,465.00,452.50,455.18,648413
18-Apr-16,468.00,468.99,458.00,460.12,925963
15-Apr-16,457.14,469.98,457.00,469.29,1269405
14-Apr-16,460.00,460.99,452.00,456.01,1167348
13-Apr-16,442.73,446.64,435.89,444.66,1065450
12-Apr-16,445.52,447.00,434.06,444.62,1064330
11-Apr-16,453.54,456.56,444.00,444.21,824183
8-Apr-16,451.25,458.74,448.53,451.25,831658
7-Apr-16,455.60,455.92,444.44,450.60,1287903
6-Apr-16,462.09,466.15,454.80,455.25,988354
5-Apr-16,461.25,470.19,460.23,463.42,629763
4-Apr-16,466.49,473.17,463.01,465.00,675455
1-Apr-16,459.33,467.90,455.75,464.81,987264
31-Mar-16,468.95,473.75,462.51,470.97,802204
30-Mar-16,462.00,471.00,454.24,466.15,1065161
29-Mar-16,466.45,468.12,453.87,460.00,1540654
28-Mar-16,474.00,480.62,472.49,475.31,738769
24-Mar-16,471.44,472.35,462.45,471.37,1015676
23-Mar-16,472.96,481.63,471.00,474.46,797023
22-Mar-16,462.03,474.12,458.40,471.76,1025303
21-Mar-16,455.20,463.42,452.78,462.48,1346449
18-Mar-16,469.98,473.42,454.50,455.37,2876472
17-Mar-16,494.03,497.42,470.80,471.59,2276821
16-Mar-16,479.86,506.00,473.11,500.35,3115970
15-Mar-16,510.99,511.50,499.42,503.00,1213700
14-Mar-16,508.87,521.51,508.01,515.73,1149660
11-Mar-16,507.37,514.89,504.25,507.85,1307454
10-Mar-16,509.90,514.00,498.93,503.68,1307755
9-Mar-16,512.56,518.61,492.50,506.63,3397972
8-Mar-16,536.30,542.50,523.42,524.69,1041421
7-Mar-16,522.97,536.00,520.08,533.69,824329
4-Mar-16,529.29,541.93,527.30,529.00,1510696
3-Mar-16,520.00,530.12,519.27,524.29,1079799
2-Mar-16,512.80,528.95,512.80,525.69,1206912
1-Mar-16,514.25,516.00,506.03,509.97,854831
29-Feb-16,508.00,522.52,506.77,509.16,1275095
26-Feb-16,507.00,508.00,493.11,506.01,1028582
25-Feb-16,514.21,515.85,497.51,505.33,1177174
24-Feb-16,519.77,522.87,512.66,514.86,1037174
23-Feb-16,514.00,530.85,513.11,525.06,1448978
22-Feb-16,515.00,529.39,514.49,525.90,1428140
19-Feb-16,512.20,526.23,509.50,511.58,1409283
18-Feb-16,515.00,518.86,502.05,515.93,1127873
17-Feb-16,495.43,514.80,495.22,514.01,1635566
16-Feb-16,484.01,493.00,478.00,492.94,1129034
12-Feb-16,466.11,487.98,465.46,480.57,1751296
